ips,ips_both_percent,ips_both,mcc,mcc_100k,mcc_200k,date
5633.0,34.61743298420025,1950.0,0.31677629999161105,-6.03886844026237e-06,-8.540349075092452e-06,2021-08-01
6727.0,32.91214508696299,2214.0,0.3235179979644449,-6.143443268463628e-06,1.8111366987987267e-05,2021-08-02
6962.0,35.00430910657857,2437.0,0.3612142337632528,-5.953430968325327e-06,1.923543609890253e-05,2021-08-03
6538.0,35.9131232792903,2348.0,0.33961423398524543,-6.295543324233758e-06,-8.903346403072685e-06,2021-08-04
7311.0,30.31049104089728,2216.0,0.36131632799952296,-5.281260917618091e-06,-7.4689177681995295e-06,2021-08-05
5145.0,39.902818270165206,2053.0,0.34987845196776746,-6.023138121753042e-06,-8.518102786328902e-06,2021-08-06
6692.0,20.517035265989243,1373.0,0.30067187561665065,-4.110018357058296e-06,-5.812511370612733e-06,2021-08-07
3116.0,45.025673940949936,1403.0,0.3438151022583349,-5.382427010636064e-06,-7.611989894618984e-06,2021-08-08
5344.0,31.979790419161674,1709.0,0.32890925592653064,3.925783912026582e-05,-7.401106677156126e-06,2021-08-09
5052.0,28.859857482185276,1458.0,0.3467296944961417,-4.355911423400148e-06,-6.160260728370703e-06,2021-08-10
3500.0,45.714285714285715,1600.0,0.327174359684446,3.216975082959518e-05,-8.60737279995162e-06,2021-08-11
6833.0,39.411678618469196,2693.0,0.32311256100992436,-7.423688378305483e-06,-1.0498803012852226e-05,2021-08-12
10166.0,35.303954357662796,3589.0,0.35126301172831126,2.3745042657827964e-05,-1.05518547957559e-05,2021-08-13
10269.0,35.40753724802805,3636.0,0.3630220175155555,2.4717589455578526e-05,-1.0291763775700594e-05,2021-08-14
9769.0,32.9511720749309,3219.0,0.3585645308021486,-6.687622524102197e-06,-9.457836580319077e-06,2021-08-15
8250.0,40.29090909090909,3324.0,0.3678026691498557,2.4456570917777265e-05,-1.0360538890280873e-05,2021-08-16
9900.0,34.686868686868685,3434.0,0.349328231873822,2.4733678405253952e-05,1.2345780898665507e-05,2021-08-17
9761.0,29.53590820612642,2883.0,0.34618947901347114,3.1310375600931586e-05,-8.777016815910071e-06,2021-08-18
7105.0,41.238564391273755,2930.0,0.3591374328977154,2.554611244022731e-05,-1.0078321676447195e-05,2021-08-19
9368.0,28.71477369769428,2690.0,0.35870987325343273,3.511047956911111e-05,-8.06768841242081e-06,2021-08-20
6003.0,44.76095285690488,2687.0,0.36310912654325705,2.6077922713456143e-05,-9.945115270762225e-06,2021-08-21
9122.0,39.333479500109625,3588.0,0.3632750433150948,2.2965828168770792e-05,-1.0767993822052197e-05,2021-08-22
10694.0,35.75836917897887,3824.0,0.3618192646863615,2.341734427093604e-05,-1.064189433850703e-05,2021-08-23
10445.0,33.96840593585447,3548.0,0.33943880508344876,2.3389749009983518e-05,1.1214476203563972e-05,2021-08-24
10460.0,32.92543021032505,3444.0,0.34087305011303437,2.4737703351790737e-05,-1.0286494876372114e-05,2021-08-25
9759.0,34.296546777333745,3347.0,0.359882730677162,2.6658770442320074e-05,-9.80291360331872e-06,2021-08-26
8863.0,36.409793523637596,3227.0,0.3526816975237673,-7.155972908128573e-06,-1.0120191756357725e-05,2021-08-27
9446.0,33.46390006351895,3161.0,0.3546296717141867,2.772858179144874e-05,-9.549676057005426e-06,2021-08-28
8411.0,36.452264891213886,3066.0,0.3562318639902292,2.6787327637385358e-05,-9.771895216465048e-06,2021-08-29
8807.0,37.61780401952992,3313.0,0.35146462532337,2.408787063568905e-05,-1.0458967161742616e-05,2021-08-30
10089.0,34.631777183070675,3494.0,0.33955145403841686,2.3325560272367428e-05,-1.0667335131122448e-05,2021-08-31
10495.0,32.87279656979514,3450.0,0.35466565562925195,2.6312966399554844e-05,-9.887164142509694e-06,2021-09-01
9016.0,33.22981366459628,2996.0,0.3568270116080959,-6.510590885929805e-06,-9.207473121963824e-06,2021-09-02
7819.0,39.736539199386115,3107.0,0.35324666592331,-7.323701710113696e-06,1.2123292398196629e-05,2021-09-03
9894.0,33.86901152213463,3351.0,0.33176916866240147,2.366617897745727e-05,-1.0573411160386347e-05,2021-09-04
10311.0,34.128600523712535,3519.0,0.34219831638230996,2.3769538318835907e-05,1.1535210576116962e-05,2021-09-05
10256.0,35.21840873634945,3612.0,0.32376991641050146,2.0596051254896537e-05,8.828498320228835e-06,2021-09-06
12135.0,31.709929954676557,3848.0,0.32750500580030334,2.179598492219986e-05,-1.1106045925837955e-05,2021-09-07
11376.0,32.340014064697606,3679.0,0.34455276958896824,2.4217530214450292e-05,-1.042418093706303e-05,2021-09-08
10022.0,36.81899820395131,3690.0,0.3477138304810817,5.185878946579686e-05,1.0056574193265478e-05,2021-09-09
11237.0,29.27827712022782,3290.0,0.3520032843517181,2.9374190571642827e-05,-9.180939459841668e-06,2021-09-10
7774.0,40.764085412914845,3169.0,0.3471693457253338,2.292303240735477e-05,1.0819185340540979e-05,2021-09-11
10718.0,28.913976488150773,3099.0,0.3486581577347323,-6.321323663629685e-06,-8.939805733141628e-06,2021-09-12
